MARKER_ID,MARKER_ADDRESS,MARKER_STATUS,LAT,LON,ENVIRONMENT_NAME,A_ROAD_NAME,A_ROAD_TYPE,A_ROAD_SUFFIX,B_ROAD_NAME,B_ROAD_TYPE,B_ROAD_SUFFIX,LOCALITY,DirText
ELT021,,IN CAD,-37.826917,145.21789,EASTLINK,EASTLINK OUT-CANTERBURY,RAMP,OF,CANTERBURY,RD,,RINGWOOD,EMERG MRKR ELT021: NEAREST I/S EASTLINK OUT-CANTERBURY RAMP & CANTERBURY RD=> GDA94 LAT:-37.826917 LON:145.21789=> TRAVEL NORTH 580M ON EASTLINK TRL=> VEHICLE ACCESS FROM CANTERBURY RD OK
MTH018,,IN CAD,-36.97532,147.157674,MT HOTHAM,GREAT ALPINE,RD,,MT LOCH,TRK,,HOTHAM HEIGHTS,EMERG MRKR MTH018: NEAREST I/S GREAT ALPINE RD & MT LOCH TRK=> GDA94 LAT:-36.97532 LON:147.157674=> TRAVEL LOCKED GATE AT NORTH END OF MT LOCH CARPARK BETWEEN TRAIL HEAD AND SCULPTURE=> KEYS WITH MT HOTHAM RESORT BOARD 57593550 OR PARKS VICTORIA 191963=> THEN NORTH-EAST 2710M ON MT LOCH/MACHINERY SPUR TRK TO JUNCTION WITH AUSTRALIAN ALPS WALKING TRK (POLE 60) OR MTH020.=> MANUAL EXTRACTION BEYOND THIS POINT=> THEN SOUTH-EAST 940M ON AUSTRALIAN ALPS WALKING TRK TO POLE 84 & MTH019=> THEN SOUTH 690M ALONG HUTS WALK AND ORANGE BOUNDARY POLES TO GOLDEN POINT SADDLE
KAR802,,IN CAD,-37.942015,145.082723,KARKAROOK PARK,WARRIGAL,RD,,SOUTH,RD,,MOORABBIN,EMERG MRKR KAR802: NEAREST I/S WARRIGAL RD & SOUTH RD=> GDA94 LAT:-37.942015 LON:145.082723=> ACCESS TO LOCKED GATES CONTACT PARKS VIC ON 131963=> TRAVEL SOUTH 100M ON WARRIGAL ROAD TO PARK ENTRANCE=> THEN EAST 310M ON TRACK=> THEN SOUTH 205M ON TRACK
MTM207,,IN CAD,-36.406448,146.619889,MURRAY TO MOUNTAINS,DIFFEY,RD,,EVERTON-BEECHWORTH RAIL,TRL,,EVERTON UPPER,EMERG MRKR MTM207: NEAREST I/S DIFFEY RD & EVERTON-BEECHWORTH RAIL TRL=> GDA94 LAT:-36.406448 LON:146.619889=> TRAVEL NORTH-EAST 625M ON RAIL TRAIL
FCC145,,IN CAD,-38.129982,145.122321,FRANKSTON CITY COUNCIL,NEPEAN,HWY,,GOULD,ST,,FRANKSTON,EMERG MRKR FCC145: NEAREST I/S NEPEAN HWY & GOULD ST=> GDA94 LAT:-38.129982 LON:145.122321=> TRAVEL SOUTH-WEST 55M ON GOULD ST TO BEACH ACCESS TRACK=> THEN WEST 100M ON BEACH ACCESS TRACK ENTER FROM GOULD ST=> LIMITED VEHICLE ACCESS
ANT008,,IN CAD,-37.801374,145.056751,ANNIVERSARY TRAIL,NORMANBY,RD,,ANNIVERSARY OUTER CIRCLE,TRL,,KEW,EMERG MRKR ANT008: NEAREST I/S NORMANBY RD & ANNIVERSARY OUTER CIRCLE TRL=> GDA94 LAT:-37.801374 LON:145.056751=> TRAVEL EAST 145M ON ANNIVERSARY OUTER CIRCLE TRL ON TRAIL NTH OF PLAYGROUND
PNP102,,IN CAD,-38.303434,144.652392,POINT NEPEAN NATIONAL PARK,DEFENCE,RD,,DANSON,DR,,PORTSEA,EMERG MRKR PNP102: NEAREST I/S DEFENCE RD & DANSON DR=> GDA94 LAT:-38.303434 LON:144.652392=> PHONE PARKS VICTORIA DUTY OFFICER ON 131963 (AH) OR INFO CENTRE ON 8427 2099 (BH)=> LOCKED GATE AT PARK ENTRANCE CODE TO ENTER IS 2690#=> TRAVEL WEST 3600M ON DEFENCE ROAD TO FORT NEPEAN BUS STOP
WCC118,,IN CAD,-38.39785,142.475923,WARRNAMBOOL CITY COUNCIL,WORM BAY,RD,,VIADUCT,RD,,WARRNAMBOOL,EMERG MRKR WCC118: NEAREST I/S WORM BAY RD & VIADUCT RD=> GDA94 LAT:-38.39785 LON:142.475923=> TRAVEL SOUTH-EAST 185M ON WORM BAY ROAD AT SKATE PARK=> THEN EAST 380M ON WORM BAY RD TO BEACH ACCESS TRACK
APL101,,IN CAD,-37.84225,144.96333,ALBERT PARK LAKE,AUGHTIE,DR,,ALBERT ROAD,DR,,ALBERT PARK,EMERG MRKR APL101: NEAREST I/S AUGHTIE DR & ALBERT ROAD DR=> GDA94 LAT:-37.84225 LON:144.96333=> ACCESS TO LOCKED GATES CONTACT PARKS VIC ON 131963=> TRAVEL SOUTH 130M ON AUGHTIE DRIVE TO ROUND ABOUT=> THEN SOUTH-EAST 100M THROUGH CAR PARK PAST PLANT WILLIAMSON ROWING PAVILLION=> THEN SOUTH-WEST 50M ON LAKESIDE PEDESTRIAN PATH=> THEN WEST 20M OVER COOT PICNIC LAWN
APL102,,IN CAD,-37.842949,144.963117,ALBERT PARK LAKE,AUGHTIE,DR,,ALBERT ROAD,DR,,ALBERT PARK,EMERG MRKR APL102: NEAREST I/S AUGHTIE DR & ALBERT ROAD DR=> GDA94 LAT:-37.842949 LON:144.963117=> ACCESS TO LOCKED GATES CONTACT PARKS VIC ON 131963=> TRAVEL SOUTH 130M ON AUGHTIE DRIVE TO ROUND ABOUT=> THEN SOUTH-EAST 100M THROUGH CAR PARK PAST PLANT WILLIAMSON ROWING PAVILLION=> THEN SOUTH-WEST 120M ON LAKESIDE PEDESTRIAN PATH
